sentence,label
@SouthwestAir thanks for your excellent response time and assistance! All set :),1
@JetBlue thanks. I appreciate your prompt response.,1
"@JetBlue yes, with about 20 minutes to spare.  FYI - your employees are amazing.  Keep up the good work!",1
@USAirways YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏,1
@JetBlue beautiful ride. Thanks again:),1
"@united I will, as soon as I am done with my article.  Thanks!  ~Tom",1
@JetBlue thanks for the response - when is the next flight after the 9:48 flight?,1
@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight,1
@USAirways thanks.  If you have another method also that would be nice.  Appears to be a design flaw,1
"@united New Apple crâpe, amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits, UA needs them 2 http://t.co/gZ9GqDT7Jj",1
"@SouthwestAir been with my GF for 2.5yrs, she's from SF &amp; I live in Tulsa. SWA always takes me there to see my love! #SouthwestLuvSweeps",1
@JetBlue Thanks for taking me back home today despite Pandora's best efforts to Cancelled Flight the flight. #jetblue #backhome #noplacelikehome,1
I know you have a lot of baggage... But i want you to know i really enjoyed being inside you. @JetBlue #Jetbae,1
@SouthwestAir Flight 1700. (PHX TO LAX) Wheels stop.  Glad to be home!  Thanks to the professionals both up front and in the cabin!!!,1
"@AmericanAir I love very much your planes, can you please follow me back? It's an amazing bussines!",1
"@USAirways thanks for the reply, hoping everything is cleared up in Charlotte by Monday",1
"@JetBlue Great Thank you, lets hope so! Could you please notify me if flight 2302 leaves JFK? Thank you again",1
@AmericanAir Thanks :-) Good to be back safely. See you again soon!,1
@AmericanAir Will do. Appreciate the replies though.,1
@united received my bag. I appreciate taking care of the matter and following up!,1
"@USAirways with the weather mess in the South, I missed my connection in CLT. Impressed though with the Cust Serv phone reps today.",1
@JetBlue The chairs could use some TLC. And more power outlets in the area would be a bonus. Headed to @UniversalORL !,1
@USAirways thanks,1
"@JetBlue I DM'd my confirmation code... Thanks again for your help! Mommy, daddy, and kids appreciate it!",1
@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,1
@JetBlue thanks for your reply. It was flight 1572.,1
@VirginAmerica omg omg😍😍 nonstop Dallas to Austin on virgin✨😱✈️,1
@JetBlue sent :-) curious to see what kind of comp we get.,1
"@united i got it at the gate, thanks for checking!",1
@united Baggage check in and in flight crew the friendliest ever Flight#417 ogg to Lax !!!,1
@SouthwestAir oh my gosh! Going to dm you now! Thank you!,1
"@JetBlue done, thank you!",1
@JetBlue I was so excited when I saw that you fly there! #ionlyflyblue,1
@SouthwestAir thanks for the follow up.  I appreciate it.,1
@AmericanAir you're my early frontrunner for best airline! #oscars2016,1
Don't show these to Larry Fedora. RT @JetBlue: Our fleet's on fleek. http://t.co/qqlzk2jkzR,1
"@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat",1
@JetBlue u the real MVP http://t.co/jWL26G6lRw,1
@USAirways thanks for helping with #reFlight Booking Problems #Cancelled Flightedflight Yvonne Anthony.  You will help us get to Tel Aviv on time.  #HappyFriday,1
"@united That made me so mad, but then I called the bag number, and that person was helpful and told me where the bag really was. (2/2)",1
@JetBlue Same exact flight too. Love JetBlue. Really want to fly with ya'll. But that's a little pricey for basic (not Mint). BOS to SFO.,1
@united Leaving soon. Thanks!,1
@AmericanAir I was happy to purchase the upgrade. If only it was avail on my next flight.,1
@SouthwestAir my birthday is during #DestinationDragons and im a huge fan- anyway I can get tickets?,1
@JetBlue Haha you're doing everything right! Don't change a thing! Slash this Twitter engagement just makes you even cooler! #bestairline,1
@SouthwestAir hot stewardess flipped me off,1
@united I JUST ASKED MY BOYFRIEND TO PROM OVER THE LOUDSPEAKER ON FLIGHT 494 HE SAID YES!!!! BEST DAY EVER!!! THANK U SO MUCH!!!!!!,1
@SouthwestAir seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!,1
@AmericanAir Thanks! He is.,1
@united  4 reFlight Booking Problemss in last 2 days and each time united wait time was &lt;5 seconds! Kudos to you for excellent customer service!,1
@united has the best customer experience via twitter - huge fan!!!,1
@SouthwestAir Thanks for making good on @PoteetTJ 's Cancelled Flightled flight.,1
@SouthwestAir Had a great trip this past week to Vegas for work; and had this pic over the Southwest on Southwest! http://t.co/a3YCFlaLxV,1
@JetBlue today my family gets to experience #mosaic status w/ me! #LifeIsGood,1
@AmericanAir thanks!!,1
@united I just received notification of in-flight Wi-Fi for UA863 from @flySFO to @SydneyAirport. Amazing!,1
@JetBlue @TSA JetBlue never disappoints !,1
@SouthwestAir thank you kindly.,1
@united Thank you.,1
"@SouthwestAir i live in the southwest, Imagine Dragons is my favorite band, and i met my 2bestfriends thanks to them. it would be amazing +",1
"@SouthwestAir Thanks so much. Appreciate your kindness in adjusting our reservation. Even during snowstorms, I still prefer Southwest. 👍",1
@united Please send me the link/email to formally compliment Irene in SLC on some of the best customer service ever. #PaxEx,1
@USAirways We're having 2 grandbabies in 2 weeks -- will travel to DC for the births. Thank you for the reasonable fares!  See you Saturday!,1
"@SouthwestAir open seating is like an open marriage, there's so much love for strangers!",1
@AmericanAir This is exactly why ill be flying AA from @Dulles_Airport to Dallas! Only airline I trust!,1
@USAirways I made it! Thanks for the help!,1
"@USAirways YOU ARE THE BEST AIRWAYS!!!!!!!!!! FOLLOW ME BACK, PLEASE 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏😢😢😢😢😢😢😢😢🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",1
@SouthwestAir love..luv the addition of the passbook option.,1
"@SouthwestAir @Imaginedragons @beatsmusic well timed tweet, just boarded and will be listening on my way home!",1
@united I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!,1
@JetBlue is gettin fancy! #Mint #LieFlat Nice work on the menu @Saxonandparole #LobsterMac #BloodyMary #JetSetter http://t.co/zf5wjgtXzT,1
@JetBlue thank you. Just sent msg.,1
"@AmericanAir although you have no control of the weather, you came through with a great customer service",1
"@AmericanAir Thank you for the response, we got it resolved at the counter.",1
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,1
@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍,1
@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace,1
@SouthwestAir Thanks. I did go through these motions shortly after my flight yesterday. I wonder how quickly flight attendants are notified.,1
@USAirways thanks!,1
@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,1
"@United is the best way to re-unite me with my one true love, shopping in USA's fashion capital #NewYork #unitedVUSA http://t.co/rBn7StUij1",1
@SouthwestAir @FortuneMagazine Love flying Southwest! Best flight attendants ever!,1
"@united Ill check it out, appreciate the response, regardless.",1
@JetBlue @JayVig I like the inflight snacks! I'm flying with you guys on 2/28! #JVMChat,1
@USAirways   Just talked to reservation. Must congratulation to them. Very friendly.  Good for usair. The ONLY airline we fly.,1
@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.,1
@SouthwestAir Your Terry is our hero! Got my husband back thru security to retrieve cellphone left on plane in Austin. Terry #85832 U Rock!,1
"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!",1
@united such a relaxing space for a drink before my flight! (at @United Global First Lounge) https://t.co/j4cj0lrF2d http://t.co/dTLGUQ1kAk,1
"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!",1
@SouthwestAir would be cool if the best airlines company hooked me up with @Imaginedragons tickets for Vegas ;),1
.@JetBlue 4 min response time. I'm impressed! I'm in. It's official.  :-) #trueblue  JetBlue gets social.,1
"@JetBlue Best airline name ever. Whenever I see it, I want to get on their plane to blue skies &amp; sea. (And they DELIVER on that promise)",1
@JetBlue this is lovely!,1
@SouthwestAir your flight attendants are really funny!! The sass is giving me life!!! 😂,1
"@united @perfectomobile I have to admit that not only the app is good but have lots of useful func (such the ""live"" seat map). Congrats",1
@SouthwestAir so happy that you can finally put your #southwestairlines boarding pass into passbook! Makes life so much easier ✈️,1
@JetBlue will call. Thank you!,1
@SouthwestAir show me some love and a companion flight~please and thank you!,1
@SouthwestAir Thank you thank you thank you,1
@united I am - thank you!,1
@SouthwestAir we're pulling off the runway now! Making new friends with seat mates. Thanks for the response CB.,1
@SouthwestAir All pieces were found and safely delivered to our home this afternoon.,1
@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!,1
@SouthwestAir That guy was the flight attendant on my last flight… he was hilarious! ☺,1
@AmericanAir awesome flight this morning on AA3230! Awesome crew and even landed early!,1
"@SouthwestAir thanks for the b day concert I watched them all (and noticed the fist bump/high five at the end of the ""rock"" version)",1
@SouthwestAir already booked my tickets for August 20th-30th!  Can't wait for my vacation!,1
@AmericanAir thanks for keeping us safe,1
@SouthwestAir Finally! Integration w/ passbook is a great Valentine gift - better then chocoLate Flight. You do heart me.,1
@JetBlue Exciting times ahead! 😁🎉,1
"I appreciate the reply. RT @SouthwestAir: @luxclark We’re so sorry to keep you waiting, Laura. An Agent will be with you shortly...^CB",1
@SouthwestAir i hope i can be apart of the team with this job opening!,1
"@united Your staff, both on deck and in the cabin on UA768 SFO -&gt; BOS were exceptional today. Please tell them well done :)",1
